OID_,Name,FolderPath,SymbolID,distance,ORIG_FID,Shape_Length,Shape_Area,Sites
1,Vizhinjam,Vizhinjam.kmz,0,25.000000000000000,1,1.469389970518642,0.171730012217375,Vizhinjam_25
2,Tuticorin,Tuticorin.kmz,0,25.000000000000000,2,1.550745311027687,0.191040206921256,Tuticorin_25
3,Pipavav,Pipavav.kmz,0,25.000000000000000,3,1.550827510066544,0.191133225370737,Pipavav_25
4,Muttom,Muttom.kmz,0,25.000000000000000,4,1.430527686985598,0.162805288118015,Muttom_25
5,Kudankulam,Kundakulam.kmz,0,25.000000000000000,5,1.437079779794632,0.164297226532127,Kudankulam_25
6,Hazira,Hazira.kmz,0,25.000000000000000,6,1.532675426490364,0.186497896763073,Hazira_25
7,Vizhinjam,Vizhinjam.kmz,0,20.000000000000000,1,1.184749429938873,0.111619730930809,Vizhinjam_20
8,Tuticorin,Tuticorin.kmz,0,20.000000000000000,2,1.265961541882289,0.127216012709309,Tuticorin_20
9,Pipavav,Pipavav.kmz,0,20.000000000000000,3,1.257894665217069,0.125715943078125,Pipavav_20
10,Muttom,Muttom.kmz,0,20.000000000000000,4,1.145974351208970,0.104472219352093,Muttom_20
11,Kudankulam,Kundakulam.kmz,0,20.000000000000000,5,1.152511955113443,0.105664275196395,Kudankulam_20
12,Hazira,Hazira.kmz,0,20.000000000000000,6,1.239563645956341,0.121943266905508,Hazira_20
13,Vizhinjam,Vizhinjam.kmz,0,15.000000000000000,1,0.900122321173991,0.064408069639231,Vizhinjam_15
14,Tuticorin,Tuticorin.kmz,0,15.000000000000000,2,0.981189671897707,0.076302394147985,Tuticorin_15
15,Pipavav,Pipavav.kmz,0,15.000000000000000,3,0.964985539319351,0.073939861377067,Pipavav_15
16,Muttom,Muttom.kmz,0,15.000000000000000,4,0.861428562520255,0.059027450044041,Muttom_15
17,Kudankulam,Kundakulam.kmz,0,15.000000000000000,5,0.867953036828664,0.059921643905580,Kudankulam_15
18,Hazira,Hazira.kmz,0,15.000000000000000,6,0.946471532924206,0.071046323543187,Hazira_15
19,Vizhinjam,Vizhinjam.kmz,0,10.000000000000000,1,0.615629333081447,0.030112409303950,Vizhinjam_10
20,Tuticorin,Tuticorin.kmz,0,10.000000000000000,2,0.696552063777315,0.038318317131162,Tuticorin_10
21,Pipavav,Pipavav.kmz,0,10.000000000000000,3,0.672223984904738,0.035825162407467,Pipavav_10
22,Muttom,Muttom.kmz,0,10.000000000000000,4,0.577018321293971,0.026492511165239,Muttom_10
23,Kudankulam,Kundakulam.kmz,0,10.000000000000000,5,0.583530853393806,0.027090160552443,Kudankulam_10
24,Hazira,Hazira.kmz,0,10.000000000000000,6,0.653513591592573,0.033825052461817,Hazira_10
